iter	Logloss
0	0.6569395117
1	0.6268676029
2	0.6005959961
3	0.5783696251
4	0.5591000371
5	0.5426144614
6	0.5292214407
7	0.5168306241
8	0.5049055532
9	0.4948170567
10	0.4861287044
11	0.4784619136
12	0.4707774475
13	0.4648718579
14	0.4595229263
15	0.4548408509
16	0.4502976337
17	0.4464438931
18	0.4431570864
19	0.4399413691
20	0.4362360924
21	0.4337611225
22	0.4311893531
23	0.4290984267
24	0.4269222961
25	0.4244682666
26	0.4227195528
27	0.4212207838
28	0.4197127448
29	0.4179232898
30	0.4161875717
31	0.4146614572
32	0.4137094958
33	0.4125917232
34	0.4114258615
35	0.4102889811
36	0.4094582203
37	0.408569196
38	0.4077900882
39	0.4069290794
40	0.4064053478
41	0.4056097733
42	0.4049412075
43	0.4043759562
44	0.4037897671
45	0.4033633077
46	0.402980648
47	0.4024390681
48	0.4020584281
49	0.4016341689
50	0.4013618108
51	0.400928055
52	0.4005877389
53	0.4001139541
54	0.3997471731
55	0.3995224288
56	0.3991324322
57	0.3985811523
58	0.3980115293
59	0.3975788709
