iter	Passed	Remaining
0	151	8962
1	157	4561
2	162	3088
3	167	2343
4	171	1883
5	175	1575
6	177	1344
7	180	1171
8	182	1034
9	184	922
10	186	831
11	188	754
12	190	688
13	192	631
14	193	581
15	195	537
16	196	497
17	198	462
18	199	430
19	200	401
20	202	375
21	203	351
22	204	328
23	205	308
24	206	289
25	207	271
26	208	254
27	209	239
28	210	224
29	211	211
30	212	198
31	213	186
32	213	175
33	214	164
34	215	153
35	216	144
36	217	134
37	217	126
38	218	117
39	219	109
40	220	101
41	220	94
42	221	87
43	222	80
44	223	74
45	223	68
46	224	62
47	225	56
48	225	50
49	226	45
50	227	40
51	228	35
52	228	30
53	229	25
54	230	20
55	231	16
56	231	12
57	232	8
58	233	3
59	234	0
